sentiment,type_token_ratio,avg_word_length,exclamation_dens,question_dens,emoji_count,positive_ratio,negative_ratio,sentiment_polarity,first_person_dens,sentence_count
-1,1.0,6.642857142857143,0.0,0.0,0.0,0.283,0.06,-0.15000000000000002,0.0,1.0
-1,0.8571428571428571,4.428571428571429,0.0,0.0,0.0,0.0,0.103,-0.225,0.0,1.0
-1,1.0,6.133333333333334,0.0,0.0,0.0,0.0,0.217,-0.18333333333333335,0.0,1.0
-1,0.8055555555555556,4.916666666666667,0.0,0.0,0.0,0.0,0.224,-0.3,0.0,1.0
-1,0.8,5.685714285714286,0.0,0.0,0.0,0.101,0.213,-0.10833333333333334,0.0,1.0
-1,0.8181818181818182,5.454545454545454,0.0,0.0,0.0,0.0,0.0,-0.3125,0.0,1.0
-1,0.8333333333333334,5.033333333333333,0.0,0.0,0.0,0.169,0.249,-0.7333333333333334,0.0,1.0
-1,0.8837209302325582,4.8604651162790695,0.0,0.0,0.0,0.083,0.106,-0.06666666666666668,0.0,1.0
-1,1.0,6.333333333333333,0.0,0.0,0.0,0.0,0.63,-0.5,0.0,1.0
-1,0.9473684210526315,5.947368421052632,0.0,0.0,0.0,0.0,0.261,-0.5777777777777777,0.0,1.0
-1,0.8780487804878049,4.975609756097561,0.0,0.0,0.0,0.314,0.248,-0.43000000000000005,0.0,1.0
-1,1.0,6.111111111111111,0.0,0.0,0.0,0.0,0.216,-0.2,0.0,1.0
-1,1.0,4.571428571428571,0.0,0.0,0.0,0.552,0.0,-0.5,0.0,1.0
-1,1.0,6.115384615384615,0.0,0.0,0.0,0.113,0.0,-0.0625,0.0,1.0
-1,1.0,5.4375,0.0,0.0,0.0,0.114,0.125,-0.05185185185185185,0.0,1.0
-1,0.8648648648648649,5.1891891891891895,0.0,0.0,0.0,0.092,0.236,-0.3333333333333333,0.0,1.0
-1,0.9130434782608695,4.565217391304348,0.0,0.0,0.0,0.207,0.105,-0.07500000000000001,0.0,1.0
-1,0.9090909090909091,4.636363636363637,0.0,0.0,0.0,0.149,0.266,-0.5,0.0,1.0
-1,0.8484848484848485,4.909090909090909,0.0,0.0,0.0,0.0,0.0,-0.15555555555555556,0.0,1.0
-1,0.8611111111111112,5.138888888888889,0.0,0.0,0.0,0.168,0.086,-0.19375,0.0,1.0
-1,0.9642857142857143,5.428571428571429,0.0,0.0,0.0,0.0,0.271,-0.13333333333333333,0.0,1.0
-1,0.9523809523809523,5.095238095238095,0.0,0.0,0.0,0.0,0.224,-0.25,0.0,1.0
-1,0.9166666666666666,5.375,0.0,0.0,0.0,0.154,0.0,-0.04999999999999999,0.0,1.0
-1,0.9411764705882353,5.294117647058823,0.0,0.0,0.0,0.103,0.127,-0.4,0.0,1.0
-1,0.8285714285714286,4.9714285714285715,0.0,0.0,0.0,0.0,0.088,-0.20454545454545456,0.0,1.0
-1,0.8846153846153846,4.576923076923077,0.0,0.0,0.0,0.079,0.164,-0.0638888888888889,0.0,1.0
-1,0.9354838709677419,5.129032258064516,0.0,0.0,0.0,0.078,0.078,-0.05555555555555555,0.0,1.0
-1,1.0,5.617647058823529,0.0,0.0,0.0,0.058,0.212,-0.07777777777777778,0.0,1.0
-1,0.85,5.75,0.0,0.0,0.0,0.292,0.238,-0.0062500000000000056,0.0,1.0
-1,0.8292682926829268,4.634146341463414,0.0,0.0,0.0,0.06,0.196,-0.08666666666666667,0.0,1.0
-1,0.8571428571428571,4.333333333333333,0.0,0.0,0.0,0.139,0.104,-0.1,0.0,1.0
-1,1.0,5.625,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,1.0
-1,0.8666666666666667,5.666666666666667,0.0,0.0,0.0,0.209,0.113,-0.175,0.0,1.0
-1,1.0,5.071428571428571,0.0,0.0,0.0,0.0,0.198,-0.2,0.0,1.0
-1,0.75,4.3,0.0,0.0,0.0,0.16,0.287,-0.07222222222222223,0.0,1.0
-1,0.6956521739130435,4.956521739130435,0.0,0.0,0.0,0.0,0.261,-0.1,0.0,1.0
-1,0.9,5.6,0.0,0.0,0.0,0.0,0.407,-0.4,0.0,1.0
-1,0.8888888888888888,6.388888888888889,0.0,0.0,0.0,0.0,0.158,-0.125,0.0,1.0
-1,0.9117647058823529,6.029411764705882,0.0,0.0,0.0,0.189,0.143,-0.05000000000000001,0.0,1.0
-1,0.9696969696969697,5.454545454545454,0.0,0.0,0.0,0.06,0.052,-0.125,0.0,1.0
-1,0.96875,5.5,0.0,0.0,0.0,0.139,0.112,-0.05,0.0,1.0
-1,0.9166666666666666,4.041666666666667,0.0,0.0,0.0,0.071,0.108,-0.03333333333333333,0.0,1.0
-1,1.0,4.5,0.0,0.0,0.0,0.0,0.425,-0.8,0.0,1.0
-1,0.8888888888888888,4.833333333333333,0.0,0.0,0.0,0.176,0.243,-0.025,0.0,1.0
-1,0.85,4.9,0.0,0.0,0.0,0.0,0.25,-0.55,0.0,1.0
-1,1.0,5.4,0.0,0.0,0.0,0.0,0.0,-0.15555555555555556,0.0,1.0
-1,0.9393939393939394,6.0606060606060606,0.0,0.0,0.0,0.129,0.082,-0.09999999999999999,0.0,1.0
-1,0.88,5.48,0.0,0.0,0.0,0.223,0.0,-0.03333333333333333,0.0,1.0
-1,0.8,4.8,0.0,0.0,0.0,0.059,0.0,-0.008333333333333338,0.0,1.0
